year,region,population,fertility_rate,mortality_rate,migration_net,urbanization_rate,gdp_contribution,employment_agriculture,employment_industry,employment_services,age_0_14,age_15_64,age_65_plus,risk_score,category,indicator_name,value,unit
2010,N'Djamena,321958.0,6.44,11.76,10708.0,0.2,1735.17,44.3,22.7,33.0,40.6,55.3,4.2,30.0,Developing,,,
2011,N'Djamena,332031.0,6.4,11.81,1209.0,0.2,2216.53,48.7,19.0,32.2,41.4,55.7,2.9,80.0,Developing,,,
2012,N'Djamena,344329.0,6.32,11.83,-173.0,0.226,3433.51,53.5,26.2,20.3,49.4,46.9,3.7,9.0,Stable,,,
2013,N'Djamena,356520.0,6.28,11.54,4744.0,0.238,4182.66,45.2,27.0,27.8,41.8,53.9,4.3,6.0,Developing,,,
2014,N'Djamena,368507.0,6.31,11.56,6004.0,0.243,3663.63,49.8,18.8,31.4,45.2,49.9,4.9,85.0,Developing,,,
2015,N'Djamena,381431.0,6.33,11.39,-6733.0,0.246,2759.21,44.2,19.7,36.0,40.7,54.3,5.0,88.0,Developing,,,
2016,N'Djamena,396349.0,6.11,11.5,6518.0,0.261,4583.3,65.5,5.5,29.0,41.0,55.9,3.1,62.0,Developing,,,
2017,N'Djamena,411773.0,6.23,11.57,-360.0,0.275,686.01,61.4,3.4,35.2,45.6,50.1,4.3,27.0,Developing,,,
2018,N'Djamena,425747.0,6.09,10.92,5212.0,0.285,1321.53,52.3,12.6,35.1,42.3,55.5,2.2,59.0,Vulnerable,,,
2019,N'Djamena,441084.0,6.08,11.28,-3051.0,0.288,2337.02,46.6,25.1,28.3,48.8,48.2,3.0,92.0,Developing,,,
2020,N'Djamena,456363.0,6.05,10.73,-5095.0,0.301,2475.67,60.8,13.8,25.4,42.4,55.1,2.5,32.0,Developing,,,
2021,N'Djamena,469909.0,5.86,11.18,-92.0,0.302,1574.3,48.5,30.7,20.7,46.1,50.4,3.5,54.0,Stable,,,
2022,N'Djamena,489699.0,5.76,10.87,9872.0,0.33,3004.21,42.4,30.2,27.4,42.4,53.2,4.4,69.0,Vulnerable,,,
2023,N'Djamena,502544.0,5.91,11.14,-4952.0,0.327,299.8,57.7,8.7,33.6,40.2,56.3,3.5,19.0,Developing,,,
2024,N'Djamena,521676.0,5.55,10.7,4632.0,0.336,2753.1,60.9,14.6,24.6,41.7,53.3,4.9,60.0,Developing,,,
2025,N'Djamena,542186.0,5.85,10.53,-3006.0,0.346,3531.75,65.4,0.0,37.1,44.0,51.3,4.7,75.0,Crisis,,,
2026,N'Djamena,563437.0,5.81,10.03,5843.0,0.355,2479.51,53.5,6.7,39.9,41.8,56.2,2.1,14.0,Developing,,,
2027,N'Djamena,580599.0,5.73,10.55,2122.0,0.375,2884.71,42.8,29.8,27.4,42.7,54.6,2.7,38.0,Crisis,,,
2028,N'Djamena,604103.0,5.6,9.81,-4236.0,0.387,4334.42,46.9,23.1,30.0,45.7,50.0,4.3,17.0,Crisis,,,
2029,N'Djamena,629349.0,5.37,10.05,1636.0,0.393,4770.05,49.9,19.0,31.1,45.7,49.3,4.9,63.0,Developing,,,
2030,N'Djamena,650044.0,5.42,9.54,-1340.0,0.405,4657.08,42.1,33.7,24.2,46.7,50.2,3.1,27.0,Developing,,,
2010,Logone Occidental,1424665.0,6.61,12.21,-6888.0,0.195,4065.87,64.3,0.0,37.3,49.1,47.3,3.5,57.0,Vulnerable,,,
2011,Logone Occidental,1470305.0,6.44,11.59,10001.0,0.204,859.7,69.5,0.0,36.8,48.6,48.6,2.8,42.0,Vulnerable,,,
2012,Logone Occidental,1530326.0,6.31,11.73,7801.0,0.221,1157.52,58.7,19.6,21.7,40.5,55.9,3.6,47.0,Vulnerable,,,
2013,Logone Occidental,1582784.0,6.3,12.02,-2169.0,0.226,496.28,52.8,13.4,33.8,40.6,54.7,4.7,34.0,Developing,,,
2014,Logone Occidental,1633312.0,6.32,11.72,10673.0,0.241,2234.8,61.9,17.1,21.0,45.7,51.9,2.5,86.0,Stable,,,
2015,Logone Occidental,1688237.0,6.44,11.5,-4662.0,0.244,2225.87,52.0,15.7,32.3,46.4,51.5,2.1,95.0,Stable,,,
2016,Logone Occidental,1746126.0,6.2,11.55,9667.0,0.262,3117.67,68.3,0.0,38.9,48.7,47.4,3.9,84.0,Developing,,,
2017,Logone Occidental,1820764.0,6.03,11.73,-9760.0,0.269,4809.83,67.2,8.9,23.9,40.7,57.0,2.3,2.0,Stable,,,
2018,Logone Occidental,1889510.0,5.95,11.42,-5777.0,0.288,3439.91,50.2,24.6,25.2,45.0,51.0,4.1,75.0,Vulnerable,,,
2019,Logone Occidental,1962973.0,6.11,10.93,-2800.0,0.294,4953.48,52.4,20.2,27.4,47.8,49.2,3.0,62.0,Developing,,,
2020,Logone Occidental,2037305.0,6.08,10.78,-4313.0,0.304,1950.87,56.0,14.0,29.9,43.9,53.2,2.9,19.0,Developing,,,
2021,Logone Occidental,2105473.0,5.89,11.28,5326.0,0.301,1710.46,60.2,4.8,35.0,47.9,47.7,4.4,53.0,Developing,,,
2022,Logone Occidental,2174072.0,5.91,10.66,4875.0,0.319,1819.48,43.5,33.6,22.9,47.6,48.5,3.9,7.0,Developing,,,
2023,Logone Occidental,2244268.0,5.71,10.38,395.0,0.335,4413.76,47.1,14.7,38.2,45.9,51.0,3.1,31.0,Developing,,,
