Region,Year,Age_Group,Population_Total
Batha,2009,Total,500ZER
Batha,2010,Total,515000
Batha,2011,Total,530450
Batha,2012,Total,546363
Batha,2013,Total,562754
Batha,2014,Total,579637
Batha,2015,Total,597026
Batha,2016,Total,614936
Batha,2017,Total,633385
Batha,2018,Total,652386
Batha,2019,Total,671958
Batha,2020,Total,692116
Batha,2021,Total,712880
Batha,2022,Total,734266
Batha,2023,Total,756294
Batha,2024,Total,778983
Batha,2025,Total,802353
Batha,2026,Total,826423
Batha,2027,Total,851216
Batha,2028,Total,876753
Batha,2029,Total,903055
Batha,2030,Total,465073
Batha,2031,Total,958051
Batha,2032,Total,986793
Batha,2033,Total,1016397
Batha,2034,Total,1046888
Batha,2035,Total,1078295
Batha,2036,Total,1110644
Batha,2037,Total,1143963
Batha,2038,Total,1178282
Batha,2039,Total,1213631
Batha,2040,Total,1250040
Batha,2041,Total,1287541
Batha,2042,Total,1326167
Batha,2043,Total,1365952
Batha,2044,Total,1406931
Batha,2045,Total,1449139
Batha,2046,Total,1492613
Batha,2047,Total,1537391
Batha,2048,Total,1583513
Batha,2049,Total,1631018
Batha,2050,Total,1679949
Borkou,2009,Total,500000
Borkou,2010,Total,515000
Borkou,2011,Total,530450
Borkou,2012,Total,546363
Borkou,2013,Total,562754
Borkou,2014,Total,579637
Borkou,2015,Total,597026
Borkou,2016,Total,614936
Borkou,2017,Total,633385
Borkou,2018,Total,652386
Borkou,2019,Total,671958
Borkou,2020,Total,692116
Borkou,2021,Total,712880
Borkou,2022,Total,734266
Borkou,2023,Total,756294
Borkou,2024,Total,778983
Borkou,2025,Total,802353
Borkou,2026,Total,826423
Borkou,2027,Total,851216
Borkou,2028,Total,876753
Borkou,2029,Total,903055
Borkou,2030,Total,930147
Borkou,2031,Total,958051
Borkou,2032,Total,986793
Borkou,2033,Total,1016397
Borkou,2034,Total,1046888
Borkou,2035,Total,1078295
Borkou,2036,Total,1110644
Borkou,2037,Total,1143963
Borkou,2038,Total,1178282
Borkou,2039,Total,1213631
Borkou,2040,Total,1250040
Borkou,2041,Total,1287541
Borkou,2042,Total,1326167
Borkou,2043,Total,1365952
Borkou,2044,Total,1406931
Borkou,2045,Total,1449139
Borkou,2046,Total,1492613
Borkou,2047,Total,1537391
Borkou,2048,Total,1583513
Borkou,2049,Total,1631018
Borkou,2050,Total,1679949
Chari-Baguirmi,2009,Total,500000
Chari-Baguirmi,2010,Total,515000
Chari-Baguirmi,2011,Total,530450
Chari-Baguirmi,2012,Total,546363
Chari-Baguirmi,2013,Total,562754
Chari-Baguirmi,2014,Total,579637
Chari-Baguirmi,2015,Total,597026
Chari-Baguirmi,2016,Total,614936
Chari-Baguirmi,2017,Total,633385
Chari-Baguirmi,2018,Total,652386
Chari-Baguirmi,2019,Total,671958
Chari-Baguirmi,2020,Total,692116
Chari-Baguirmi,2021,Total,712880
Chari-Baguirmi,2022,Total,734266
Chari-Baguirmi,2023,Total,756294
Chari-Baguirmi,2024,Total,778983
Chari-Baguirmi,2025,Total,802353
Chari-Baguirmi,2026,Total,826423
Chari-Baguirmi,2027,Total,851216
Chari-Baguirmi,2028,Total,876753
Chari-Baguirmi,2029,Total,903055
Chari-Baguirmi,2030,Total,930147
Chari-Baguirmi,2031,Total,958051
Chari-Baguirmi,2032,Total,986793
Chari-Baguirmi,2033,Total,1016397
Chari-Baguirmi,2034,Total,1046888
Chari-Baguirmi,2035,Total,1078295
Chari-Baguirmi,2036,Total,1110644
Chari-Baguirmi,2037,Total,1143963
Chari-Baguirmi,2038,Total,1178282
Chari-Baguirmi,2039,Total,1213631
Chari-Baguirmi,2040,Total,1250040
Chari-Baguirmi,2041,Total,1287541
Chari-Baguirmi,2042,Total,1326167
Chari-Baguirmi,2043,Total,1365952
Chari-Baguirmi,2044,Total,1406931
Chari-Baguirmi,2045,Total,1449139
Chari-Baguirmi,2046,Total,1492613
Chari-Baguirmi,2047,Total,1537391
Chari-Baguirmi,2048,Total,1583513
Chari-Baguirmi,2049,Total,1631018
Chari-Baguirmi,2050,Total,1679949
Ennedi Est,2009,Total,500000
Ennedi Est,2010,Total,515000
Ennedi Est,2011,Total,530450
Ennedi Est,2012,Total,546363
Ennedi Est,2013,Total,562754
Ennedi Est,2014,Total,579637
Ennedi Est,2015,Total,597026
Ennedi Est,2016,Total,614936
Ennedi Est,2017,Total,633385
Ennedi Est,2018,Total,652386
Ennedi Est,2019,Total,671958
Ennedi Est,2020,Total,692116
Ennedi Est,2021,Total,712880
Ennedi Est,2022,Total,734266
Ennedi Est,2023,Total,756294
Ennedi Est,2024,Total,778983
Ennedi Est,2025,Total,802353
Ennedi Est,2026,Total,826423
Ennedi Est,2027,Total,851216
Ennedi Est,2028,Total,876753
Ennedi Est,2029,Total,903055
Ennedi Est,2030,Total,930147
Ennedi Est,2031,Total,958051
Ennedi Est,2032,Total,986793
Ennedi Est,2033,Total,1016397
Ennedi Est,2034,Total,1046888
Ennedi Est,2035,Total,1078295
Ennedi Est,2036,Total,1110644
Ennedi Est,2037,Total,1143963
Ennedi Est,2038,Total,1178282
Ennedi Est,2039,Total,1213631
Ennedi Est,2040,Total,1250040
Ennedi Est,2041,Total,1287541
