Region,Year,GDP_Per_Capita,Urbanization_Rate
Batha,2009,810,25.2
Batha,2010,810,25.2
Batha,2011,820,25.4
Batha,2012,830,25.6
Batha,2013,840,25.8
Batha,2014,850,26.0
Batha,2015,860,26.2
Batha,2016,870,26.4
Batha,2017,880,26.6
Batha,2018,890,26.8
Batha,2019,900,27.0
Batha,2020,910,27.2
Batha,2021,920,27.4
Batha,2022,930,27.6
Batha,2023,940,27.8
Batha,2024,950,28.0
Batha,2025,960,28.2
Batha,2026,970,28.4
Batha,2027,980,28.6
Batha,2028,990,28.8
Batha,2029,1000,29.0
Batha,2030,1010,29.2
Batha,2031,1020,29.4
Batha,2032,1030,29.6
Batha,2033,1040,29.8
Batha,2034,1050,30.0
Batha,2035,1060,30.2
Batha,2036,1070,30.4
Batha,2037,1080,30.6
Batha,2038,1090,30.8
Batha,2039,1100,31.0
Batha,2040,1110,31.2
Batha,2041,1120,31.4
Batha,2042,1130,31.6
Batha,2043,1140,31.8
Batha,2044,1150,32.0
Batha,2045,1160,32.2
Batha,2046,1170,32.4
Batha,2047,1180,32.6
Batha,2048,1190,32.8
Batha,2049,1200,33.0
Batha,2050,1185,32.71
Borkou,2009,810,25.2
Borkou,2010,810,25.2
Borkou,2011,820,25.4
Borkou,2012,830,25.6
Borkou,2013,840,25.8
Borkou,2014,850,26.0
Borkou,2015,860,26.2
Borkou,2016,870,26.4
